,Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,FlightNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
1324,2008,1,3,4,1457.0,1405,1849.0,1750,972,172.0,165.0,151.0,59.0,52.0,SEA,ABQ,1180,6.0,15.0,24.0,0.0,7.0,0.0,28.0
1326,2008,1,3,4,1325.0,1255,1553.0,1510,318,88.0,75.0,61.0,43.0,30.0,SEA,BOI,399,2.0,25.0,11.0,0.0,13.0,0.0,19.0
1329,2008,1,3,4,2022.0,1925,2355.0,2300,1158,153.0,155.0,128.0,55.0,57.0,SEA,DEN,1024,7.0,18.0,0.0,0.0,0.0,0.0,55.0
1332,2008,1,3,4,2045.0,2010,2140.0,2105,775,55.0,55.0,35.0,35.0,35.0,SEA,GEG,224,5.0,15.0,0.0,0.0,4.0,0.0,31.0
1333,2008,1,3,4,1753.0,1640,1844.0,1735,1682,51.0,55.0,36.0,69.0,73.0,SEA,GEG,224,3.0,12.0,0.0,0.0,0.0,0.0,69.0
1334,2008,1,3,4,1456.0,1445,1734.0,1710,559,158.0,145.0,133.0,24.0,11.0,SEA,LAS,866,5.0,20.0,11.0,0.0,13.0,0.0,0.0
1335,2008,1,3,4,1906.0,1840,2130.0,2105,2211,144.0,145.0,125.0,25.0,26.0,SEA,LAS,866,7.0,12.0,10.0,0.0,0.0,0.0,15.0
1336,2008,1,3,4,1151.0,1125,1418.0,1350,2357,147.0,145.0,126.0,28.0,26.0,SEA,LAS,866,5.0,16.0,11.0,0.0,2.0,0.0,15.0
1337,2008,1,3,4,1334.0,1300,1857.0,1825,730,203.0,205.0,177.0,32.0,34.0,SEA,MCI,1489,4.0,22.0,3.0,0.0,0.0,0.0,29.0
1338,2008,1,3,4,1412.0,1345,1959.0,1935,1189,227.0,230.0,210.0,24.0,27.0,SEA,MDW,1733,7.0,10.0,12.0,0.0,0.0,0.0,12.0
